PointID,PointIDtied,BirdID,Use,Sex,Age,Latitude,Longitude,Date,Year,PerchType,DetailPerchType,PerchH,Crops11,Water11,WaterType11,WaterDavg11,Wire100,WireAvg100,Ditches100,DitchWavg100,DitchDavg100,GrassWavg100,GrassHavg100,Wire250,WireAvg250,WoodyPerches250,WoodyAvg250,NonnatPerches250,NonnatAvg250,TotalPerches250,Ditches250,DitchWavg250,DitchDavg250,GrassWavg250,GrassHavg250,Corn500,Cotton500,Rice500,Soy500,Fallow500,Develop500,Forest500
Borneo Obs 2,Borneo2,Borneo,1,M,ASY,35.66315,-90.57158,2/9/2017,1,wire,utility wire,7.25,1,0,none,0,240,7,3,6.833333333,1.916666667,5,0.666666667,540,7,101,6,25,2,126,3,6.833333333,1.916666667,5,0.666666667,3.20856432,6.760903389,13.06344045,66.00475173,4.239888566,3.896113817,0
Borneo Ran 2,Borneo2,Borneo,0,M,ASY,35.66293,-90.57111,2/9/2017,1,stubble,soy stubble,0.1,1,0,none,0,200,7,3,6.833333333,1.916666667,5,0.666666667,500,7,101,6,25,2,126,3,6.833333333,1.916666667,5,0.666666667,6.245241266,3.036676946,26.98631777,54.1445229,2.177240074,4.698254898,0
Butch Obs 1a,Butch1a,Butch,1,M,SY,35.67103,-90.57338,1/17/2017,1,wire,utility wire,4.75,1,1,ditch,0.1,220,6.5,1,2.25,0.5,3,0.2,520,6.5,13,5,10,4,23,1,2.25,0.5,3,0.2,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 1a,Butch1a,Butch,0,M,SY,35.67132,-90.57272,1/17/2017,1,natural,pigweed,0.75,1,0,none,0,220,6.5,1,2.25,0.5,3,0.2,680,6.5,13,5,10,4,23,3,2.25,0.4,4,0.383333333,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Butch Obs 2a,Butch2a,Butch,1,M,SY,35.67111,-90.57709,1/24/2017,1,anthropogenic,limb,3.5,1,1,ditch,0.1,240,5.5,1,2.5,0.2,1.75,0.2,540,5.5,14,6,15,2,29,1,2.25,0.2,1.75,0.2,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 2a,Butch2a,Butch,0,M,SY,35.67095,-90.57729,1/24/2017,1,anthropogenic,post,1.4,1,0,none,0,240,5.5,1,2.5,0.2,1.75,0.2,540,5.5,14,6,15,2,29,1,2.25,0.2,1.75,0.2,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Butch Obs 3a,Butch3a,Butch,1,M,SY,35.67104,-90.57162,2/1/2017,1,wire,utility wire,5,0,0,none,0,300,6.5,3,2.25,0.4,4,0.383333333,750,6.5,12,2,10,4,22,3,2.25,0.4,4,0.383333333,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 3a,Butch3a,Butch,0,M,SY,35.67097,-90.57139,2/1/2017,1,wire,utility wire,5,1,0,none,0,300,6.5,3,2.25,0.4,4,0.383333333,750,6.5,12,2,10,4,22,3,2.25,0.4,4,0.383333333,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Butch Obs 4a,Butch4a,Butch,1,M,SY,35.67137,-90.57658,2/9/2017,1,wire,utility wire,7.5,1,0,none,0,210,5.5,1,2.25,0.5,7,0.75,540,5.5,14,6,5,2,19,1,2.25,0.5,7,0.75,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 4a,Butch4a,Butch,0,M,SY,35.66878,-90.57714,2/9/2017,1,stubble,soy stubble,0.15,1,0,none,0,250,6.5,1,2.25,0.5,2,0.2,250,6.5,13,5,6,4,19,1,2.25,0.5,2,0.2,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Gator Obs 1,Gator1,Gator,1,M,ASY,35.9215,-90.47733,2/16/2017,1,wire,utility wire,9,1,0,none,0,200,7.5,3,9.083333333,3.466666667,7,0.583333333,500,7.5,50,2,14,4,64,3,9.083333333,3.466666667,7,0.583333333,0.343774749,4.125296983,38.61736343,48.01387322,0.114591583,8.250593966,0.572957914
Gator Ran 1,Gator1,Gator,0,M,ASY,35.9193,-90.47583,2/16/2017,1,stubble,soy stubble,0.15,1,0,none,0,0,0,0,0,0,0,0,430,7.5,50,2,10,4,60,3,9.083333333,3.466666667,7,0.583333333,6.589016015,10.14135508,28.87707888,48.41494376,0.057295791,4.81284648,0.458366331
Gator Obs 2,Gator2,Gator,1,M,ASY,35.91795,-90.48187,2/18/2017,1,stubble,rice stubble,0.3,1,0,none,0,0,0,1,6,2.75,10,0.5,470,7.5,101,6,10,6,111,1,6,2.75,10,0.5,0.343774749,4.125296983,38.61736343,48.01387322,0.114591583,8.250593966,0.572957914
Gator Ran 2,Gator2,Gator,0,M,ASY,35.91804,-90.48167,2/18/2017,1,natural,tree,3,1,0,none,0,0,0,1,6,2.75,10,0.5,470,7.5,101,6,10,6,111,1,6,2.75,10,0.5,6.589016015,10.14135508,28.87707888,48.41494376,0.057295791,4.81284648,0.458366331
Gator Obs 3,Gator3,Gator,1,M,ASY,35.91653,-90.48317,2/20/2017,1,natural,tree,5,0,0,none,0,300,7.5,2,0.75,0.2,6,0.5,600,7.5,101,6,20,5,121,3,2.5,1.05,7.333333333,0.5,0.343774749,4.125296983,38.61736343,48.01387322,0.114591583,8.250593966,0.572957914
Gator Ran 3,Gator3,Gator,0,M,ASY,35.91604,-90.48322,2/20/2017,1,anthropogenic,farme equipment,2,1,0,none,0,200,7.5,2,0.75,0.2,6,0.5,600,7.5,101,6,20,5,121,3,2.5,1.05,3.833333333,0.3,6.589016015,10.14135508,28.87707888,48.41494376,0.057295791,4.81284648,0.458366331
Gater Obs 4,Gator4,Gator,1,M,ASY,35.91674,-90.48354,2/22/2017,1,natural,tree,3,0,0,none,0,200,7.5,2,0.75,0.2,6,0.5,500,7.5,101,6,15,5,116,3,2.5,1.05,7.333333333,0.5,0.343774749,4.125296983,38.61736343,48.01387322,0.114591583,8.250593966,0.572957914
Gator Ran 4,Gator4,Gator,0,M,ASY,35.91643,-90.48413,2/22/2017,1,anthropogenic,trash pile,2,1,0,none,0,0,0,0,0,0,0,0,500,7.5,60,6,20,5,80,3,2.5,1.05,7.333333333,0.5,6.589016015,10.14135508,28.87707888,48.41494376,0.057295791,4.81284648,0.458366331
Gen Ironbeak Ran 5,Gen5,Gen Ironbeak,0,M,ASY,35.77116,-90.43371,2/22/2017,1,natural,tree,4,0,0,none,0,180,7,0,0,0,16,0.2,560,7,19,8,19,4,38,0,0,0,16,0.2,0,33.97640432,0,7.677636052,0.114591583,5.443100186,1.088620037
Gen Ironbeak Obs 1,Gen1,Gen Ironbeak,1,M,ASY,35.7659,-90.43676,1/24/2017,1,wire,utility wire,8,1,0,none,0,220,6.5,0,0,0,2,0.2,520,6.5,0,0,9,5,9,0,0,0,2,0.2,0,11.57374987,0,4.583663315,0,3.666930652,0
Gen Ironbeak Ran 1,Gen1,Gen Ironbeak,0,M,ASY,35.76533,-90.43701,1/24/2017,1,wire,utility wire,8,1,0,none,0,200,7.5,0,0,0,2,0.2,520,6.5,0,0,10,5,10,0,0,0,2,0.2,0,33.97640432,0,7.677636052,0.114591583,5.443100186,1.088620037
Gen Ironbeak Obs 2,Gen2,Gen Ironbeak,1,M,ASY,35.77105,-90.43373,2/3/2017,1,natural,tree,2,1,0,none,0,180,7,0,0,0,2,0.2,580,7,19,8,19,4,38,0,0,0,2,0.2,0,11.57374987,0,4.583663315,0,3.666930652,0
Gen Ironbeak Ran 2,Gen2,Gen Ironbeak,0,M,ASY,35.76961,-90.43446,2/3/2017,1,wire,utility wire,7.25,1,0,none,0,280,7,0,0,0,2,0.2,580,7,15,8,14,5,29,0,0,0,2,0.2,0,33.97640432,0,7.677636052,0.114591583,5.443100186,1.088620037
Gen Ironbeak Obs 3,Gen3,Gen Ironbeak,1,M,ASY,35.77119,-90.43362,2/12/2017,1,natural,tree,4,1,0,none,0,180,7,0,0,0,16,0.2,580,7,19,8,19,5,38,0,0,0,16,0.2,0,11.57374987,0,4.583663315,0,3.666930652,0
Gen Ironbeak Ran 3,Gen3,Gen Ironbeak,0,M,ASY,35.77239,-90.43385,2/12/2017,1,natural,tree,6,1,0,none,0,320,6.7,2,1.5,0.75,30,0.2,620,6.7,15,6.5,26,4,41,2,1.5,0.75,30,0.2,0,33.97640432,0,7.677636052,0.114591583,5.443100186,1.088620037
Gen Ironbeak Obs 4,Gen4,Gen Ironbeak,1,M,ASY,35.76752,-90.43591,2/16/2017,1,wire,utility wire,9.5,1,0,none,0,220,6.5,0,0,0,2,0.2,580,6.5,0,0,18,5,18,0,0,0,2,0.2,0,11.57374987,0,4.583663315,0,3.666930652,0
Gen Ironbeak Ran 4,Gen4,Gen Ironbeak,0,M,ASY,35.76878,-90.4371,2/16/2017,1,stubble,peanut stubble,0.1,1,0,none,0,220,6.5,0,0,0,16,0.2,580,6.5,0,0,18,5,18,0,0,0,16,0.2,0,33.97640432,0,7.677636052,0.114591583,5.443100186,1.088620037
Gen Ironbeak Obs 5,Gen5,Gen Ironbeak,1,M,ASY,35.77035,-90.43467,2/22/2017,1,wire,utility wire,9,1,0,none,0,240,7,0,0,0,16,0.2,580,7,16,8,14,5,30,0,0,0,16,0.2,0,11.57374987,0,4.583663315,0,3.666930652,0
Gerald Obs 1,Gerald 1,Gerald,1,M,SY,35.87804,-90.51088,2/14/2017,1,wire,utility wire,6.25,0,0,none,0,215,7.5,2,2.625,0.625,5.875,0.2,515,7.5,15,2,8,3,23,2,2.625,0.625,5.875,0.2,10.54242562,0,58.2125241,23.26209132,0.229183166,7.333861303,0
Gerald Ran 1,Gerald 1,Gerald,0,M,SY,35.87854,-90.51099,2/14/2017,1,stubble,soy stubble,0.18,1,0,none,0,195,7.5,2,2.625,0.625,5.875,0.2,495,7.5,15,2,8,3,23,2,2.625,0.625,5.875,0.2,43.08643516,0.40107054,38.27358868,12.0321162,0.40107054,5.271212812,0.630253706
Gerald Obs 2,Gerald 2,Gerald,1,M,SY,35.87797,-90.51748,2/16/2017,1,wire,utility wire,7,1,0,none,0,300,7.5,3,2.333333333,0.233333333,7,0.35,750,7.5,101,6,22,4,123,3,2.333333333,0.233333333,7,0.35,21.31403441,68.98413289,0,5.844170726,0,3.896113817,0
Gerald Ran 2,Gerald 2,Gerald,0,M,SY,35.87643,-90.51929,2/16/2017,1,stubble,rice stubble,0.1,1,0,none,0,0,0,0,0,0,0,0,360,7.5,30,6,14,4,44,3,2.333333333,0.233333333,7,0.35,12.60507412,75.74503627,0,5.61498756,0,5.61498756,0
Gerald Obs 3,Gerald 3,Gerald,1,M,SY,35.87817,-90.51612,2/18/2017,1,wire,utility wire,7.75,1,1,ditch,0.3,200,7.5,4,2.6875,0.4375,7.9375,0.2875,820,7.5,33,3,11,4,44,4,2.6875,0.4375,7.9375,0.2875,21.31403441,68.98413289,0,5.844170726,0,3.896113817,0
Gerald Ran 3,Gerald 3,Gerald,0,M,SY,35.87811,-90.51478,2/18/2017,1,natural,tree,2,0,1,ditch,0.3,300,7.5,4,2.6875,0.4375,7.9375,0.2875,750,7.5,33,3,7,5,40,4,2.6875,0.4375,7.9375,0.2875,12.60507412,75.74503627,0,5.61498756,0,5.61498756,0
Gerald Obs 4,Gerald 4,Gerald,1,M,SY,35.87814,-90.51666,2/20/2017,1,wire,utility wire,6.75,1,1,ditch,0.1,260,7.5,3,2.333333333,0.233333333,7,0.35,740,7.5,101,6,13,4,114,3,2.333333333,0.233333333,7,0.35,21.31403441,68.98413289,0,5.844170726,0,3.896113817,0
Gerald Ran 4,Gerald 4,Gerald,0,M,SY,35.87679,-90.51761,2/20/2017,1,wire,utility wire,6.75,1,0,none,0,200,7.5,1,1.5,0.2,1,0.3,690,7.5,55,6,15,6,70,3,2.333333333,0.233333333,7,0.35,12.60507412,75.74503627,0,5.61498756,0,5.61498756,0
Gerald Obs 5,Gerald 5,Gerald,1,M,SY,35.87812,-90.5173,2/22/2017,1,wire,utility wire,6,1,1,ditch,0.3,300,7.5,3,2.333333333,0.233333333,7,0.35,750,7.5,101,6,22,4,123,3,2.333333333,0.233333333,7,0.35,21.31403441,68.98413289,0,5.844170726,0,3.896113817,0
Gerald Ran 5,Gerald 5,Gerald,0,M,SY,35.87741,-90.51766,2/22/2017,1,wire,utility wire,6,1,0,none,0,240,7.5,3,2.333333333,0.233333333,7,0.35,680,7.5,45,6,14,5,59,3,2.333333333,0.233333333,7,0.35,12.60507412,75.74503627,0,5.61498756,0,5.61498756,0
Hugo Obs 1,Hugo1,Hugo,1,M,SY,35.47062,-90.47937,2/1/2017,1,natural,tree,4,1,0,none,0,200,6.25,2,7.25,2.125,4,0.375,500,6.25,20,2,7,6.5,27,3,9.166666667,2.083333333,5,0.375,0.114591583,1.145915829,20.053527,68.98413289,0.916732663,8.823551881,0
Hugo Ran 1,Hugo1,Hugo,0,M,SY,35.47208,-90.47871,2/1/2017,1,anthropogenic,farm equipment,4,1,0,none,0,0,0,0,0,0,0,0,450,6.25,2,2,5,5,7,2,7.25,2.125,4,0.375,0,0.572957914,12.14670778,79.06819218,0.916732663,7.563044469,0
Joey Obs 1,Joey1,Joey,1,M,ASY,35.66685,-90.82203,1/23/2017,1,wire,utility wire,6.6,1,1,ditch,0.165,200,6.6,1,3.25,0.8,5,0.5,840,6.6,86,12,16,5,102,1,3.25,0.8,5,0.5,0.458366331,0,38.73195501,45.60744998,1.718873743,8.136002384,5.729579143
Joey Ran 1,Joey1,Joey,0,M,ASY,35.66607,-90.82506,1/23/2017,1,natural,tree,5,0,0,none,0,180,6.6,1,3.25,0.8,5,0.5,690,6.6,101,13,6,6.6,107,1,3.25,0.8,5,0.5,0.458366331,0,40.90919508,48.01387322,1.489690577,6.760903389,2.177240074
Lone Obs 1a,Lone1a,Lone,1,M,ASY,35.75664,-90.50903,1/24/2017,1,natural,tree,9,1,1,ditch,0.1,200,6.75,2,4.125,1,6,0.25,500,6.75,55,5,21,3.5,76,3,5.083333333,1.25,15,0.25,1.375098994,24.29341557,0,71.04678138,0,3.552339069,0
Lone Ran 1a,Lone1a,Lone,0,M,ASY,35.75534,-90.50703,1/24/2017,1,stubble,soy stubble,0.3,1,0,none,0,0,0,0,0,0,0,0,540,6.75,40,5,16,4,56,2,4.125,1,6,0.25,0,21.31403441,0,75.74503627,0,3.20856432,0
Lone Obs 2a,Lone2a,Lone,1,M,ASY,35.75761,-90.50899,2/3/2017,1,natural,tree,5,1,0,none,0,200,6.75,2,7,1.75,30,0.25,500,6.75,55,5,12,4,67,3,5.083333333,1.25,17.5,0.25,1.375098994,24.29341557,0,71.04678138,0,3.552339069,0
Lone Ran 2a,Lone2a,Lone,0,M,ASY,35.75761,-90.5097,2/3/2017,1,stubble,soy stubble,0.1,1,0,none,0,125,6.75,2,7,1.75,30,0.25,620,6.75,55,5,4,7,59,3,5.083333333,1.25,17.5,0.25,0,21.31403441,0,75.74503627,0,3.20856432,0
Lone Obs 3a,Lone3a,Lone,1,M,ASY,35.7576,-90.50899,2/9/2017,1,natural,shrub,5,1,0,none,0,200,6.75,2,7,1.75,30,0.25,500,6.75,55,5,12,4,67,3,5.083333333,1.25,17.5,0.25,1.375098994,24.29341557,0,71.04678138,0,3.552339069,0
Lone Ran 3a,Lone3a,Lone,0,M,ASY,35.75782,-90.50716,2/9/2017,1,wire,utility wire,7.25,1,0,none,0,100,6.75,2,4.125,1,30,0.25,650,6.75,55,5,20,4,75,3,5.083333333,1.25,17.5,0.25,0,21.31403441,0,75.74503627,0,3.20856432,0
Lone Obs 4a,Lone4a,Lone,1,M,ASY,35.75773,-90.50838,2/17/2017,1,wire,utility wire,6.75,1,0,none,0,210,6.75,3,5.083333333,1.25,17.5,0.25,530,6.75,55,5,20,4,75,3,5.083333333,1.25,17.5,0.25,1.375098994,24.29341557,0,71.04678138,0,3.552339069,0
Lone Ran 4a,Lone4a,Lone,0,M,ASY,35.75851,-90.50841,2/17/2017,1,stubble,soy stubble,0.15,1,0,none,0,110,6.75,2,7,1.75,10,0.25,380,6.75,55,5,16,3.5,71,3,5.083333333,1.25,7.5,0.25,0,21.31403441,0,75.74503627,0,3.20856432,0
Napolean Obs 1,Napolean1,Napolean,1,M,ASY,35.718766,-90.822996,1/20/2017,1,wire,utility wire,5,1,1,ditch,0.2,200,6,1,3,0.75,4,0.5,805,6.5,101,7,11,6.5,112,3,3.75,1.333333333,4.333333333,0.433333333,0.343774749,0,56.1498756,40.22164559,0.057295791,2.864789572,0.343774749
Napolean Ran 1,Napolean1,Napolean,0,M,ASY,35.720774,-90.822207,1/20/2017,1,natural,tree,8,0,1,ditch,0.375,100,6.5,3,3.75,1.333333333,4.333333333,0.433333333,616,6.5,101,7,9,7,110,3,3.75,1.333333333,4.333333333,0.433333333,0.572957914,0,44.19415379,39.87787084,9.854876126,3.361353097,1.298704606
Napolean Obs 2,Napolean2,Napolean,1,M,ASY,35.71271,-90.82266,2/3/2017,1,anthropogenic,farm equipment,1.2,1,0,none,0,200,7,1,1.5,0.5,0,0,500,7,1,5,10,5,11,1,1.5,0.5,0,0,0.343774749,0,56.1498756,40.22164559,0.057295791,2.864789572,0.343774749
Napolean Ran 2,Napolean2,Napolean,0,M,ASY,35.71123,-90.82014,2/3/2017,1,stubble,rice stubble,0.05,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572957914,0,44.19415379,39.87787084,9.854876126,3.361353097,1.298704606
Napolean Obs 3,Napolean3,Napolean,1,M,ASY,35.71946,-90.83063,2/16/2017,1,natural,brush pile,2.5,1,0,none,0,180,5,2,2.125,0.75,25,0.5,590,5,20,5,11,3,31,2,2.125,0.75,25,0.5,0.343774749,0,56.1498756,40.22164559,0.057295791,2.864789572,0.343774749
Napolean Ran 3,Napolean3,Napolean,0,M,ASY,35.71995,-90.83336,2/16/2017,1,natural,herbaceous,0.75,1,1,ditch,0.08,0,0,2,2.125,0.75,25,0.5,0,0,6,2.5,3,1.75,9,2,2.125,0.75,13,0.375,0.572957914,0,44.19415379,39.87787084,9.854876126,3.361353097,1.298704606
Obama Obs 1a,Obama1a,Obama,1,M,ASY,35.48244,-90.94834,1/23/2017,1,wire,utility wire,7.25,1,1,ditch,0.1,418,10.85,2,1.5,0.5,6,0.3,1018,10.85,22,13,10,7.2,32,2,0.75,0.25,6,0.3,0.114591583,0,44.23235099,47.89928164,0.80214108,6.302537058,0.343774749
Obama Ran 1a,Obama1a,Obama,0,M,ASY,35.48107,-90.94923,1/23/2017,1,stubble,rice stubble,0.5,1,1,flooded field,0.05,0,0,0,0,0,0,0,380,10.85,5,18,8,7.2,13,2,0.75,0.25,6,0.3,0.114591583,0,44.34694257,46.75336581,1.145915829,6.760903389,0.572957914
Obama Obs 2a,Obama2a,Obama,1,M,ASY,35.48167,-90.94833,1/30/2017,1,wire,utility wire,6.8,1,1,ditch,0.03,418,10.85,2,1.5,0.5,6,0.3,1018,10.85,7,13,10,7.2,17,2,1.5,0.5,6,0.3,0.114591583,0,44.23235099,47.89928164,0.80214108,6.302537058,0.343774749
Obama Ran 2a,Obama2a,Obama,0,M,ASY,35.48205,-90.94808,1/30/2017,1,wire,utility wire,13.4,1,1,ditch,0.05,380,10.85,2,1.5,0.5,6,0.3,988,10.85,20,13,9,7.2,29,2,1.5,0.5,6,0.3,0.114591583,0,44.34694257,46.75336581,1.145915829,6.760903389,0.572957914
Obama Obs 3a,Obama3a,Obama,1,M,ASY,35.48262,-90.94872,2/10/2017,1,wire,utility wire,14.5,1,0,none,0,380,10.85,2,1.5,0.5,6,0.3,988,10.85,25,13,11,7.2,36,2,1.5,0.5,6,0.3,0.114591583,0,44.23235099,47.89928164,0.80214108,6.302537058,0.343774749
Obama Ran 3a,Obama3a,Obama,0,M,ASY,35.4815,-90.95026,2/10/2017,1,stubble,rice stubble,0.25,1,0,none,0,0,0,0,0,0,0,0,406,10.85,1,2,10,7.2,11,2,1.5,0.5,6,0.3,0.114591583,0,44.34694257,46.75336581,1.145915829,6.760903389,0.572957914
Obama Obs 4a,Obama4a,Obama,1,M,ASY,35.48194,-90.94847,2/18/2017,1,anthropogenic,utility pole,7.6,1,0,none,0,418,10.85,2,1.5,0.5,6,0.3,1018,10.85,7,13,10,7.2,17,2,1.5,0.5,6,0.3,0.114591583,0,44.23235099,47.89928164,0.80214108,6.302537058,0.343774749
Obama Ran 4a,Obama4a,Obama,0,M,ASY,35.48228,-90.94841,2/18/2017,1,wire,utility wire,14.5,1,1,flooded field,0.08,418,10.85,2,1.5,0.5,6,0.3,1018,10.85,22,13,10,7.2,32,2,1.5,0.5,6,0.3,0.114591583,0,44.34694257,46.75336581,1.145915829,6.760903389,0.572957914
Peanut Obs 1a,Peanut1a,Peanut,1,M,SY,35.60256,-90.53844,2/9/2017,1,wire,utility wire,9.5,1,0,none,0,260,9.5,4,4.3125,1.2875,2.5,0.5,700,9.5,16,5,13,5,29,4,4.3125,1.2875,2.5,0.5,0,49.38897222,0.572957914,41.94051933,0,8.594368715,0
Peanut Ran 1a,Peanut1a,Peanut,0,M,SY,35.60099,-90.5379,2/9/2017,1,natural,herbaceous,0.3,1,0,none,0,0,0,0,0,0,0,0,250,9.5,14,3,8,5,22,4,4.3125,1.2875,2.5,0.5,0,72.07810562,0.114591583,20.28271017,0,7.677636052,0
Pg Obs 1,Pg1,Pg,1,M,SY,35.73727,-90.8406,2/3/2017,1,wire,utility wire,8.25,1,1,ditch,0.25,200,8.25,1,3.25,1.3,4,0.3,500,8.25,101,7,6,8.25,107,1,3.25,1.3,4,0.3,0,0,0.114591583,86.9750114,3.323155903,5.385804395,4.239888566
Pg Ran 1,Pg1,Pg,0,M,SY,35.73845,-90.84061,2/3/2017,1,wire,utility wire,8.25,1,0,none,0,200,8.25,1,3.25,1.3,4,0.3,500,8.25,3,1.5,5,8.25,8,1,3.25,1.3,4,0.3,0,0,17.07414585,65.89016015,3.666930652,4.640959106,8.078706592
Pg Obs 2,Pg2,Pg,1,M,SY,35.73737,-90.84063,2/10/2017,1,wire,utility wire,7,1,1,ditch,0.12,200,8.25,1,3.25,1.3,4,0.3,500,8.25,101,7,6,8.25,107,1,3.25,1.3,4,0.3,0,0,0.114591583,86.9750114,3.323155903,5.385804395,4.239888566
Pg Ran 2,Pg2,Pg,0,M,SY,35.73806,-90.84171,2/10/2017,1,stubble,soybean stubble,0.05,1,0,none,0,0,0,0,0,0,0,0,450,8.25,101,7,3,8.25,104,1,3.25,1.3,4,0.3,0,0,17.07414585,65.89016015,3.666930652,4.640959106,8.078706592
Pg Obs 3,Pg3,Pg,1,M,SY,35.73775,-90.83871,2/16/2017,1,stubble,soybean stubble,0.3,1,0,none,0,0,0,0,0,0,0,0,355,8.25,20,7,4,8.25,24,1,3.25,1.3,4,0.3,0,0,0.114591583,86.9750114,3.323155903,5.385804395,4.239888566
Pg Ran 3,Pg3,Pg,0,M,SY,35.73878,-90.84065,2/16/2017,1,wire,utility wire,8,1,0,none,0,200,8.25,0,0,0,4,0.3,500,8.25,101,7,30,4,131,1,3.25,1.3,4,0.3,0,0,17.07414585,65.89016015,3.666930652,4.640959106,8.078706592
Pg Obs 4,Pg4,Pg,1,M,SY,35.74423,-90.84065,2/23/2017,1,wire,utility wire,7.25,1,1,ditch,0.1,200,7,2,1.625,0.6,2,0.5,500,7,20,2,7,6,27,3,3.75,1.066666667,5,0.625,0,0,0.114591583,86.9750114,3.323155903,5.385804395,4.239888566
Pg Ran 4,Pg4,Pg,0,M,SY,35.74526,-90.84194,2/23/2017,1,natural,tree,2,1,1,ditch,0.1,0,0,1,8,2,8,0.75,380,7,16,1.75,6,6,22,3,3.75,1.066666667,5,0.625,0,0,17.07414585,65.89016015,3.666930652,4.640959106,8.078706592
Powerline Obs 1,Power1,Power,1,M,SY,35.61638,-90.58185,2/9/2017,1,anthropogenic,utility pole,7.2,1,1,ditch,0.1,200,7.2,2,2.625,1.25,0.75,0.25,500,7.2,0,0,7,6,7,3,2.333333333,0.916666667,1.5,0.333333333,0,10.88620037,0,84.9123629,0,3.781522235,0
